EXTRACTING STARTED at:05:00:02
Current time:05:30:27 users_left:531 current_user:982826312
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:45:21
Going to sleep for 894 seconds cause the rate limit status for friends told me so
Time when to continue: 05:45:21
Current time:05:30:28 users_left:530 current_user:98193177
Going to sleep for 893 seconds cause the rate limit status for friends told me so
Time when to continue: 05:45:21
Current time:05:30:28 users_left:529 current_user:75191151
Going to sleep for 893 seconds cause the rate limit status for friends told me so
Time when to continue: 05:45:21
Going to sleep for 893 seconds cause the rate limit status for friends told me so
Time when to continue: 05:45:21
Going to sleep for 893 seconds cause the rate limit status for friends told me so
Time when to continue: 05:45:21
Going to sleep for 893 seconds cause the rate limit status for friends told me so
Time when to continue: 05:45:21
Going to sleep for 893 seconds cause the rate limit status for friends told me so
Time when to continue: 05:45:21
Current time:05:45:22 users_left:528 current_user:372182181
Current time:05:45:22 users_left:527 current_user:614334922
Current time:05:45:22 users_left:526 current_user:323342637
Current time:05:45:22 users_left:525 current_user:1707390432
Current time:05:45:22 users_left:524 current_user:914263532
Current time:05:45:22 users_left:523 current_user:2157581772
Current time:05:45:22 users_left:522 current_user:314505037
Current time:05:45:22 users_left:521 current_user:337605278
Current time:05:45:22 users_left:520 current_user:1449727284
Current time:05:45:22 users_left:519 current_user:292901755
Current time:05:45:22 users_left:518 current_user:144160123
Current time:05:45:22 users_left:517 current_user:467938930
Current time:05:45:22 users_left:516 current_user:351453418
Current time:05:45:22 users_left:515 current_user:1346703894
Current time:05:45:23 users_left:514 current_user:1794097232
Current time:05:45:23 users_left:513 current_user:1092279050
Current time:05:45:23 users_left:512 current_user:22713314
Current time:05:45:23 users_left:511 current_user:237350687
Current time:05:45:23 users_left:510 current_user:631073996
Current time:05:45:23 users_left:509 current_user:985460342
Current time:05:45:23 users_left:508 current_user:495854277
Current time:05:45:23 users_left:507 current_user:431921720
Current time:05:45:23 users_left:506 current_user:565896256
Current time:05:45:23 users_left:505 current_user:91894980
Current time:05:45:24 users_left:504 current_user:2221762184
Current time:05:45:24 users_left:503 current_user:196341028
Current time:05:45:24 users_left:502 current_user:331628140
Current time:05:45:24 users_left:501 current_user:49147623
Current time:05:45:24 users_left:500 current_user:2188449788
Current time:05:45:24 users_left:499 current_user:47981966
Current time:05:45:24 users_left:498 current_user:471838758
Current time:05:45:24 users_left:497 current_user:1691382582
Current time:05:45:24 users_left:496 current_user:461672433
Current time:05:45:24 users_left:495 current_user:616572085
Current time:05:45:24 users_left:494 current_user:110678030
Current time:05:45:24 users_left:493 current_user:15273725
Current time:05:45:24 users_left:492 current_user:776989364
Current time:05:45:24 users_left:491 current_user:943081915
Current time:05:45:25 users_left:490 current_user:72661795
Current time:05:45:25 users_left:489 current_user:372734252
Current time:05:45:25 users_left:488 current_user:450300621
